task,nopf_restored_simSeconds,ldp_restored_simSeconds,speedup_ldp_over_nopf,status
graph_bfs_queue_ss,0.108681,0.051820,2.097279,ok
graph_bfs_queue_cg10,0.013338,0.001826,7.304491,ok
graph_mst_queue_ss,0.108407,0.060784,1.783479,ok
graph_mst_queue_cg10,0.013397,0.004874,2.748666,ok
graph_sssp_queue_ss,0.106504,0.052091,2.044576,ok
graph_sssp_queue_cg10,0.013376,0.004519,2.959947,ok
database_hj_m,0.280969,0.105741,2.657143,ok
database_gb_m,0.181809,0.078925,2.303567,ok
network_ipv4_m,0.006490,0.002994,2.167669,ok
